hanam, hanam, zinc, zinc
-61.628277,-10.4224205,6.106608,-53.05356
-59.828667,-3.2502816,13.685983,-40.67891
-57.77035,-18.75232,12.307511,-41.62986
-41.8079,-45.174305,-56.8759,-19.338968
-63.678604,-12.827099,13.649003,-40.697353
-56.577057,-19.566212,5.242821,-54.81745
-72.907585,-7.126476,10.697121,-43.280285
-66.434845,-18.154469,2.2266061,-51.03922
-71.570915,-6.9859943,9.530332,-43.21905
-65.32227,-7.9512963,2.7723033,-51.553726
-69.388504,-7.722501,10.399191,-32.17404
20.880579,-50.605587,-54.94318,-17.95456
-33.95324,-46.60244,12.024408,-42.72985
-31.73909,-49.300644,-55.010963,-17.987696
-36.813908,-45.4343,9.5288,-44.740612
-61.595074,-8.509831,10.132205,-43.868786
-62.3975,-7.685641,-44.714085,-5.4438763
-35.186684,-46.835808,-54.265804,-24.611242
-64.36583,-7.297889,9.713214,-49.81766
-37.969643,-44.617764,-19.118258,-24.328465
-37.89246,-44.552723,10.157711,-32.389435
-60.835354,-7.735926,10.031491,-30.627316
-61.40965,-7.1848955,7.3761625,-50.066597
-33.016205,-48.18095,29.92374,-24.917234
-61.12311,-6.4725537,29.573921,-25.031086
-34.46208,-47.329506,22.651634,-30.891886
-61.285374,-5.69038,22.91571,-31.067081
-36.01435,-44.945244,6.846319,-38.83806
-62.905396,-8.091277,6.7189717,-38.755306
-62.210087,-8.731903,31.328773,-27.041721
-34.970104,-45.124073,3.4738905,-47.116047
-35.13143,-44.35135,25.369133,-27.469952
-29.65115,-55.324825,31.107616,-20.464212
-31.047377,-55.15432,11.154273,-39.924625
-30.730452,-55.266125,12.120805,-50.002827
-66.604416,-7.3989716,21.189194,-29.33736
-30.553473,-55.237946,31.29167,-25.156641
-26.873095,-53.110687,11.2136965,-31.143255
-26.541658,-53.612286,5.235404,-54.723766
-26.336725,-53.99683,15.461356,-30.465315
-70.986755,-6.088138,0.75883317,-50.298622
-71.048035,-7.088318,12.321022,-33.175774
-26.748993,-51.0676,7.0783286,-27.599049
-73.88523,-6.5761547,37.199474,45.19023
-73.51149,-6.341386,32.034626,-21.292967
-26.55912,-67.28896,11.094525,-40.0262
-74.579414,-6.7300334,23.56705,-29.78785
-35.700706,-45.49244,33.55857,50.208508
-35.1236,-45.73049,-49.79823,0.5343607
-61.229465,-8.3127365,-41.239582,-6.3118596
-37.09561,-46.05506,9.120073,-44.94398
-35.85523,-46.009846,-45.28582,-6.3341618
-61.99657,-7.828152,16.354185,-30.639206
-29.747305,-54.581696,32.532726,-21.333437
-36.058495,-45.5648,7.3589597,-49.99217
-31.670635,-54.298138,0.8183947,-46.31154
-35.04361,-46.315353,14.744209,-52.344463
-29.626944,-54.762806,10.930145,-39.404606
-31.517323,-54.46308,0.15719649,-49.316788
-26.356028,-52.96642,4.8457594,-52.288353
-26.76512,-51.06569,33.649574,52.745193
-71.386734,-6.3367424,10.199451,-43.83404
-25.869946,-53.59875,35.250282,49.708744
-26.0017,-52.928036,7.450496,-28.247395
-60.269894,-10.470319,13.122123,-32.943726
-24.236158,-54.11921,2.5867634,-46.49607
-38.08052,-45.770687,14.520334,-26.948902
-40.876408,-44.195908,5.785665,-42.090225
-30.73113,-45.650433,3.4798088,-49.15519
-29.071175,-50.24746,32.582424,-23.716898
-30.98189,-46.811726,2.56276,-46.300156
-31.247822,-47.718002,7.176641,-27.740578
-33.29055,-45.071693,10.106022,-39.89532
-30.729326,-47.056633,-41.568195,-6.4429746
-29.683304,-46.89102,43.70564,35.23009
-28.728392,-50.768738,12.54846,-32.550255
-28.388695,-50.93964,48.077885,-11.744755
-71.71847,-5.6379976,-40.77139,-5.6526594
-42.311226,-42.483734,9.586208,-31.795515
-39.432205,-42.77051,0.36582243,-51.709557
-29.734144,-46.3796,13.034702,-24.066982
-64.01946,-5.015786,-44.118782,-5.173937
-25.200157,-52.784374,13.275472,-33.45961
-24.364355,-53.28346,-45.243835,-5.3227525
-24.584288,-53.635403,3.9719195,-49.647747
-42.834236,-42.719654,48.6526,-13.196336
-43.053738,-42.734184,1.2307448,-49.725403
-40.34101,-44.344204,4.844491,-52.235203
-39.3846,-42.83427,37.04023,49.154907
-37.616753,-46.624535,34.054123,50.041218
-30.646397,-46.409122,49.678726,-6.5105877
-32.892826,-44.952927,-46.438404,-3.8514194
-31.817478,-43.635197,34.285374,54.883057
-32.32335,-44.563774,-34.419342,-2.844158
-31.328773,-43.618378,1.0673624,-51.867393
-30.190556,-47.493183,2.4838507,-48.64196
-31.836027,-44.87825,-16.526358,-23.747694
-72.02907,-5.755355,-7.941257,-28.984434
-24.029835,-53.49987,15.8891535,-29.011055
-42.88383,-42.730194,30.761393,-18.27212
-30.95164,-46.672604,26.56273,-31.854662
-33.315853,-43.948235,16.949423,-21.763418
-33.496487,-44.13988,17.16623,-27.728144
-33.422234,-44.62239,38.527515,44.136017
-32.894974,-44.41173,28.8013,-33.839176
-32.491737,-45.399178,28.95028,-24.634516
-32.255352,-43.580997,26.811527,-34.223026
-28.401104,-52.14517,3.669517,-31.93733
-69.97525,-6.245248,37.781178,-16.735155
-24.99526,-54.023884,16.871986,-20.18
-23.322119,-54.58989,19.186895,-20.533373
-23.82271,-54.92629,30.901024,-27.549042
-23.82264,-54.926205,39.105556,43.86039
-72.8533,-6.093478,4.478994,-18.478628
-24.953428,-54.562294,26.468662,-32.136368
-39.78194,-52.808655,14.545049,-26.55355
-34.599186,-64.03254,27.918789,-22.14326
-35.64292,-62.447403,36.390823,-12.09276
-35.291027,-62.03319,-0.7113708,-19.603542
-39.51914,-53.740128,16.526205,-38.696884
-35.3745,-61.63431,11.688119,-50.085705
-36.57233,-58.57453,28.091114,-23.466864
-40.034985,-50.055977,28.082779,-23.364922
-41.55643,-46.288807,43.813305,-10.976424
-64.56491,-15.65489,27.949764,-22.95501
-40.2151,-50.16022,41.877106,47.516937
-33.84688,-61.290585,37.383965,22.772305
-32.143986,-61.46175,-36.88209,3.3443854
-34.63789,-60.94218,-39.47492,-4.1323
-69.50576,-13.933541,15.138211,-54.724693
