hanam, hanam, zinc, zinc
-50.270523,-59.910168,-78.90584,2.3060029
-45.42211,-55.827946,-75.519615,-8.396689
-54.269978,-51.216663,-69.05647,4.7811484
-81.157005,42.302906,-68.633224,4.7350173
-54.3896,-60.262787,-77.53945,-7.4044337
-55.660015,-48.945225,-76.41915,-6.4601827
-50.12694,-69.681404,-75.4091,-8.406003
-53.459248,-63.816555,39.436806,77.025314
-49.533092,-68.99484,-77.7702,-9.640089
-48.73322,-64.70002,-81.54441,-4.739516
-49.41972,-67.220436,-46.600803,52.64625
-67.87948,1.8162704,-77.8783,-4.4864726
-77.078186,44.450558,-68.28245,4.1140666
-74.944855,47.03745,-69.22895,4.0771704
-78.1628,43.386177,-81.74057,-4.4658055
-48.98739,-60.359875,-81.87122,-4.335738
-48.652943,-60.520157,-68.6215,4.7493105
-77.27156,43.97288,-16.158545,70.09077
-48.588585,-64.099464,-44.9933,56.05525
-78.78534,42.697083,-42.217567,57.194008
-78.75806,42.669422,-16.205368,70.07097
-48.92587,-60.04503,-74.78351,6.5496063
-48.5783,-60.14592,-69.1098,5.493954
-76.244316,45.3067,-78.27503,-6.032941
-48.276917,-59.706467,-56.239117,-48.735558
-77.03128,44.103405,-16.293072,69.88934
-47.835236,-59.38523,-78.02695,-2.023563
-77.67278,43.291,-78.68035,-6.031887
-48.78921,-60.907753,-81.38093,-4.761043
-48.932236,-60.790325,-45.743206,52.336063
-77.14018,43.41136,-46.04944,52.376358
-76.9919,43.028484,-78.630295,-5.888995
-74.66443,50.650143,-68.94462,5.4442253
-75.147255,50.091747,-81.25162,-4.8697586
-74.9856,50.177868,-77.36722,-8.248706
-48.492077,-65.68356,-81.29631,-5.162693
-74.94339,50.16295,-45.01877,56.055058
-72.53782,49.700535,-80.76404,-6.4331913
-72.36384,49.810658,39.472553,76.93632
-72.28013,49.89102,-77.46611,-8.475959
-49.4487,-68.952805,-78.51033,-3.6904094
-49.46057,-68.93778,90.10829,-4.9260817
-73.12941,49.219727,-77.38324,-8.290374
-50.341743,-70.21088,-81.48397,-5.966242
-50.174984,-70.08955,-78.699585,-5.986296
-74.481,58.602478,-78.5668,0.128909
-50.685562,-70.476776,-66.20459,3.6822908
-77.622215,43.500977,-78.79798,2.7309067
-77.39739,43.57299,-75.52163,-2.3878748
-49.002224,-60.313423,-44.982456,56.059772
-78.31973,43.54964,-51.146313,2.4463968
-77.59945,43.59062,-77.86569,-4.991165
-48.682358,-60.461742,-16.247993,70.12816
-74.71495,50.516182,90.37281,-3.2209446
-77.739136,43.471992,90.35543,-3.0419168
-75.572395,49.66173,-69.81504,4.0006113
-77.26722,43.675957,-78.677414,2.672188
-74.671265,50.58996,-53.271805,-46.688213
-75.47156,49.805515,-53.124363,-47.01842
-72.09385,49.75999,-53.0124,-47.422382
-73.25825,48.9829,-49.64742,-45.3437
-49.480972,-69.03792,-54.940628,-42.547615
-72.192825,49.906033,-80.21004,-6.598591
-72.297905,49.82283,-81.52894,-4.5357146
-50.34553,-59.11613,-51.320824,-44.22388
-71.28459,50.5274,-51.320778,-44.222145
-78.94124,43.35774,-78.53441,-5.480331
-80.51876,42.04494,-77.54305,-7.8706784
-74.90245,44.821796,-77.771675,-7.5160646
-73.769585,48.354015,-67.17051,-13.074653
-74.74837,45.18491,-76.43662,-8.491593
-74.94294,45.564915,-80.16505,-3.0614681
-75.78125,43.529366,-78.89379,-3.6504405
-74.72131,45.22807,-77.28747,-1.8921099
-74.387596,45.332188,-77.71427,-7.866427
-73.60029,48.511574,89.87827,-4.7139134
-73.50112,48.608124,-51.00988,1.2255573
-49.51322,-69.37962,-68.56213,-11.699924
-80.125145,-8.127085,-77.896194,-4.479018
