hanam, hanam, zinc, zinc
-16.89081,8.093004,-4.1309414,-12.874791
-14.812255,8.815037,-5.6254535,-0.43905196
-8.323569,6.8480506,-10.521557,3.687659
6.3454294,10.2899475,-4.0866146,-12.869461
-14.689187,0.14803307,-1.1599139,-17.901981
-6.8291883,6.672162,-2.4743333,-11.729438
-26.22687,12.370435,-2.4655364,-15.471749
-14.309425,14.166699,1.2674767,-16.272043
-25.270706,11.288808,1.2590275,-15.590441
-20.11741,8.254843,-12.709018,5.652565
-23.205486,10.673977,-1.9723862,-31.514168
2.74254,-15.333487,0.31634554,-26.673304
12.366093,6.672603,-1.9081213,-12.34242
16.593351,9.824579,0.7017184,-26.022266
11.2456255,8.401584,-0.45751634,-13.805275
-17.327744,6.523298,2.0699315,7.580496
-18.458483,6.3003755,-5.5061502,-0.7734456
13.721186,9.411887,1.6889966,-29.029915
-19.874025,7.0938725,-1.4863049,-17.039865
9.744888,8.430076,0.25389254,-16.570518
9.8492775,8.301761,-2.3469021,-16.997242
-17.24674,5.5591164,-4.940753,-16.499239
-18.110474,5.396511,-3.6693573,-16.318619
15.873716,9.631514,-3.8042595,-16.344652
-18.56687,4.901065,-1.8236119,-18.277405
14.655313,9.341413,-3.5101213,-15.074278
-19.358519,4.3764186,-2.2501805,-30.997301
11.582544,7.481877,0.5817107,-12.411003
-18.570927,6.9910064,0.0150695145,-13.2520895
-17.745033,7.0477304,1.1758687,-23.322845
13.334068,8.325839,-6.62671,-21.795404
13.548073,8.069008,2.3897681,-28.170134
23.24088,12.619388,-2.9517877,-17.4436
21.967173,13.122421,-2.3326807,-11.144703
22.274134,13.070667,2.3873243,-28.056742
-21.409582,8.549183,-0.7942049,-28.11886
22.273369,12.676591,1.3079971,-29.844454
24.027483,8.71536,-3.0482366,-18.633099
24.568403,9.142076,-2.4473093,-30.93408
25.039345,9.672741,-4.3370433,-18.025791
-25.32986,10.201291,1.3267154,-15.58458
-24.670576,11.263855,-15.883712,4.338883
23.046606,9.203533,-9.555204,-16.734436
-27.444714,12.145685,-3.4050953,-17.530586
-27.28331,11.7123375,-1.2449461,-14.143173
32.53343,20.784693,-0.52050376,-11.026516
-27.95903,12.652591,-1.1181053,-12.892567
12.3049965,7.9047046,-0.69058985,-11.497664
12.603916,7.4510446,0.2964204,-26.866863
-17.154573,6.1703615,-3.9891047,-17.158178
11.313713,9.105612,-1.3689029,-28.683676
12.26824,8.34288,-10.442711,-17.29247
-18.077263,6.227126,-9.88489,-17.4859
22.870705,12.021207,-1.2214248,-27.657652
11.919229,7.9879603,-16.591282,3.6787674
20.953892,12.769586,-11.152487,-17.99814
13.57028,9.182231,0.6208777,-28.466768
23.052034,12.121865,-4.9790735,-19.273716
21.175972,12.800362,-14.487785,-13.364404
24.233469,9.254075,-4.9420633,-17.940195
22.688028,8.872282,-5.6831446,-18.809692
-25.465578,10.593817,-3.5964694,-21.612335
24.835743,8.674512,-7.758431,-21.007063
24.68144,9.67236,-3.3569336,-20.768345
-15.328686,5.483372,-4.315618,-20.134771
26.632666,8.483204,0.51169735,-19.342531
10.270073,9.4505205,-3.2213178,-18.74118
6.788484,9.197337,-0.68483365,-31.214457
16.6207,7.182196,-3.197948,-31.302433
21.185282,8.533865,-2.6316493,-19.731455
17.522383,6.8527927,-2.4070444,-28.852123
18.086662,7.7582803,-10.628443,-18.947268
14.331726,6.738202,0.6422413,-11.07004
17.864628,6.8443804,-1.2903743,-29.66772
18.259863,5.791411,-10.425897,-18.67491
21.706657,8.73019,-11.995061,-18.749107
22.007502,8.508464,0.90627086,-10.853826
-26.134989,10.312275,-3.601404,-20.33097
4.453482,8.405047,-11.377165,-21.675827
7.5384693,7.5339603,-7.3171945,-19.498238
17.753803,5.508896,-5.020847,-23.497107
-20.807255,6.2516637,-0.8578251,-19.679651
24.979692,7.872965,-1.5537821,-32.86097
26.052492,7.7691936,-0.85374385,-20.680733
26.067549,8.198722,-2.6997552,-10.155485
3.8698943,8.751416,-4.1816525,-23.717648
3.5135558,8.629931,-4.533371,-31.424318
7.317817,9.089279,-11.834878,-25.398792
7.7857046,7.642747,-7.525931,-22.118223
11.030571,9.921744,-14.346128,-20.496775
17.243967,6.399801,-7.526674,-22.385775
14.69968,6.3584223,-10.433094,-19.645119
15.264111,4.8285203,1.3490213,-30.425333
15.0681505,5.799289,-6.566592,-29.357073
15.75256,4.730133,-6.306412,-16.576445
18.518776,6.730851,-10.848805,-25.309963
15.559557,6.243845,-4.584399,-29.807682
-26.203924,10.800482,-13.584379,-19.810305
26.47392,7.794973,-9.834067,-30.631323
3.858194,8.846998,-3.6079674,-30.722706
17.527739,6.4877253,-2.2106571,-27.73143
13.87556,5.706305,-5.1456947,-25.279451
14.021271,6.421287,-10.398787,-23.464752
13.831658,6.058732,-10.389703,-25.310766
14.426168,5.904335,-4.7984533,-33.713814
15.115261,6.9798193,1.2258825,-14.397835
14.805612,4.958994,-6.9055963,-22.929165
22.12454,9.899519,-1.4848684,-22.648375
-24.48633,9.793754,-0.77198905,-15.22493
25.946568,8.701418,-5.435878,-18.07922
27.647495,8.962558,-9.219386,-24.613878
27.483532,8.61853,-0.36982864,-15.811935
27.548395,8.259765,-5.4369745,-23.538616
-26.720978,11.383013,-9.103732,-26.517262
26.36769,9.182691,-7.5601635,-31.012455
13.350417,16.611809,-0.35144627,-12.198087
24.266243,23.318825,-7.7923193,-18.805943
22.344528,22.817997,-6.452312,-17.335693
22.542957,22.267635,-2.4344103,-28.557001
14.02469,17.068058,-1.028567,-12.2294235
22.369558,21.760586,-7.575666,-29.021435
19.921408,20.227053,-13.732388,-21.644964
11.069692,14.930406,-8.040232,-28.381203
7.191506,11.308016,-3.8663874,-28.4432
-15.929921,11.367128,-7.5868707,-31.078249
11.471242,14.774931,-15.735886,-21.710388
23.168385,20.258266,-7.2450666,-24.914507
24.9925,20.30784,-12.510306,-24.813358
22.464064,20.659653,-6.158882,-24.842258
-19.72264,14.472827,-5.3895507,-24.18621
11.37746,14.927589,-6.63252,-24.691174
11.0645075,15.704329,-5.82587,-28.025114
11.891259,15.277128,-6.110794,-24.205656
24.177742,19.65952,-18.962742,-21.838568
-19.61253,14.676376,3.4288526,-18.776814
25.408665,20.272568,-12.3886,-25.489904
19.91725,18.836111,-6.2916093,-28.459858
24.151215,20.908152,-7.4551353,-19.133821
25.797592,19.970865,-11.768212,-24.402994
12.184224,15.514676,-12.458692,-24.647524
30.302576,23.849695,-11.50105,-26.618706
23.996939,21.241726,-1.5692229,-11.511996
-19.73325,15.522866,-4.7459,-32.033947
-18.901674,14.001252,-3.4947941,-24.020498
20.355124,19.178879,-7.768919,-23.626009
17.884531,18.255825,-16.803938,-22.47991
20.86826,19.603283,-11.874469,-21.94065
25.97549,21.810955,-7.6258225,-15.003611
24.930305,22.83744,-5.9599824,-30.30933
24.746553,19.063845,-9.992824,-30.66842
