hanam, hanam, zinc, zinc
48.261257,29.795803,25.186558,-38.375813
43.398315,34.711006,40.136673,-18.644047
46.820618,21.01466,39.705196,-22.587732
62.573097,-0.43617216,24.915863,-38.214516
51.391644,28.171688,-7.348076,-54.079132
45.554718,19.890926,-1.1613215,-47.258564
58.66781,36.46488,41.74678,-20.365742
55.513397,23.55707,1.2847209,-47.759357
57.187687,36.06129,-66.75941,-15.66104
50.94946,33.463913,30.370756,-31.053488
55.051384,34.758648,43.68298,20.835348
7.439072,-39.522957,16.549026,-46.194817
66.24153,-8.015996,38.216858,-22.980555
69.5777,-9.550569,37.248917,-21.295458
64.321465,-5.560949,39.202328,-19.473831
47.77953,31.79142,37.730976,-22.597761
48.138844,32.999744,-66.27429,-13.725909
66.21686,-6.8342595,36.39239,-20.565521
49.800137,33.85212,19.008734,-19.126549
63.163303,-4.722147,35.106777,-21.312468
63.104366,-4.8556056,44.11952,29.784939
46.645847,32.024746,42.840645,21.503927
46.880722,32.839886,40.74071,23.217445
68.303055,-8.674392,41.76741,-20.362423
46.12544,33.13588,-8.017603,-54.67884
67.07159,-7.488209,-0.012278026,-43.694252
45.769363,33.89236,13.947053,-45.263927
64.08054,-6.458996,1.2266287,-46.546707
48.80212,32.688007,25.765387,-36.668915
48.498028,31.755856,15.111865,-46.961285
64.32747,-7.560771,0.88547033,-46.684048
63.51285,-7.6595893,27.205221,-34.57674
75.68308,-11.201086,16.210157,-43.997757
74.81685,-10.022952,14.704616,-45.461765
74.91979,-10.361237,-59.367783,-15.278884
52.070667,34.45561,2.4541357,-43.44942
74.707985,-10.723892,26.725185,-34.11412
74.053825,-14.268339,30.385942,-31.099207
74.00944,-14.968089,37.492744,-15.844565
75.12639,-14.586621,23.947807,-38.398415
56.33335,36.933033,26.5965,-34.558502
56.622944,35.79933,15.888818,-44.4635
73.3782,-13.471453,-8.299497,-55.42091
59.38583,37.423454,1.861202,-38.56046
58.919643,37.606117,19.187607,-36.527847
90.04726,-10.232733,2.0091128,-46.28949
60.151947,37.45737,13.557448,-44.40205
64.63456,-6.76325,19.870352,-32.97628
65.03657,-7.2867503,18.685282,-19.616499
47.350437,31.737736,17.05526,-19.286072
64.94716,-5.094272,27.138134,33.74528
65.22595,-6.3643384,32.135883,-33.286377
47.835384,32.55553,-8.188485,-53.854282
