hanam, hanam, zinc, zinc
-48.01217,7.8850403,-28.611221,-7.549423
-49.37698,9.468966,-28.595274,-7.416416
-43.321457,7.408145,-28.70213,-7.4720306
-63.202965,10.084285,-8.689891,2.95405
-47.12359,6.3539214,-28.768988,-7.393452
-33.752724,-2.3031914,16.482006,-1.7327055
-61.15073,21.485777,-32.46468,-4.121304
-62.6004,19.204613,-15.293763,-15.749037
-61.061394,21.346064,-32.467964,-4.562191
-48.6953,7.8623185,-27.607279,-2.003534
-61.14621,20.16611,-29.36668,-11.01545
-29.810804,-17.583294,-32.06722,-4.708431
-64.875114,10.018656,-32.60593,-3.7113955
-66.40381,10.807483,-29.511288,-3.9345808
-64.47806,9.9666195,-30.442348,-7.3697395
-48.02645,8.0404625,-29.179977,-4.664179
-48.08505,8.06351,-30.357424,-8.153418
-64.706894,9.870482,-28.847023,-2.9099016
-48.46034,7.9205976,-45.416733,8.498561
-64.10092,9.928659,6.224019,-60.849197
-64.112045,9.917446,-29.546429,-9.097773
-47.998703,8.084751,-29.272547,-3.7307296
-48.056435,8.127953,-25.904839,-5.3248067
-65.38482,10.052807,6.045029,-61.11141
-48.011585,8.289452,-21.414474,-6.26104
-64.80592,9.859602,6.2090983,-60.881332
-47.981407,8.547813,-30.39113,-8.279068
-64.63137,9.885248,6.408248,-60.872772
-48.19503,7.9999785,-15.476153,-15.754222
-48.122433,8.015428,6.23975,-60.86827
-64.716484,9.852992,-29.5513,-9.03436
-64.729294,9.805137,-28.59389,-4.3384886
-67.57977,11.830542,-28.699043,-2.95835
-67.22672,11.575018,-28.826807,-7.1760554
-67.33825,11.577033,-26.779156,-5.8363276
-60.521435,19.654993,17.4275,-0.6255142
-67.315125,11.610045,-28.704184,-7.7698545
-67.99193,11.113076,-32.00164,-4.594394
-68.06831,11.097738,-41.26185,9.945509
-68.12183,11.08752,-27.670763,-7.103341
-61.031605,21.326818,-28.75675,-7.389922
-61.040524,21.325909,-25.465906,-4.39232
-67.71454,11.10936,-25.465992,-4.391887
-61.156628,21.62085,-30.344501,-8.189358
-61.128704,21.595472,-30.252161,-9.348019
-68.76301,14.091509,-34.599308,2.832727
-61.210346,21.695892,-30.415182,-8.109286
-64.61481,9.928966,-25.800802,-10.968929
-64.69076,9.899301,-29.429186,-2.3820565
-48.021324,8.046582,-30.265898,-7.99317
-64.52117,10.002442,-27.405045,-2.0172162
-64.633934,9.930426,-29.267426,-2.055787
-48.087265,8.0737915,-29.24975,-3.7370174
