hanam, hanam, zinc, zinc
4.236104,-51.555206,-4.1881285,-44.511295
10.85918,-47.65756,-16.579628,-45.384132
-6.562541,-49.829605,-4.6534643,-43.88912
-21.925013,-54.77045,-18.94452,-47.242157
1.2763817,-53.11546,-18.741638,-45.139416
-8.464254,-49.28384,-18.312325,-48.70271
10.760048,-62.616314,-44.795807,11.093619
-2.0398428,-58.59082,-43.638844,-25.201471
10.561429,-61.118183,-18.99654,-48.804554
8.19727,-54.83042,-40.79954,-28.793085
9.297755,-58.864243,-16.563143,-44.70936
-45.667374,-6.4235888,6.403333,-39.12041
-30.749123,-57.315296,6.75568,-37.474476
-33.388405,-59.956505,-18.754335,-48.24374
-27.739058,-56.144558,5.5206823,-39.56193
6.389161,-51.333393,-3.7926283,-18.639505
7.4086275,-51.770172,-43.254375,7.2304797
-29.530691,-57.790737,-45.02706,5.4268007
8.620546,-53.68968,-48.383064,17.588812
-26.543192,-55.177715,-48.214096,-15.28827
-26.656313,-55.09864,-42.792835,-15.162663
7.102082,-50.069305,-44.537342,14.482695
7.8253903,-50.474384,-44.42038,14.554428
-32.104073,-59.04465,-43.834435,7.6542654
8.508247,-49.93495,-44.776943,17.427103
-30.52466,-58.278976,-34.48753,-32.21869
9.380887,-49.789967,-43.171265,-17.059029
-28.565014,-55.61704,-41.55049,-27.372545
7.4010696,-52.425613,-8.335003,61.51179
6.4526577,-51.981472,10.89181,-32.394386
-29.815363,-55.92276,-30.802618,25.539946
-29.630396,-55.076187,-48.95655,-17.058119
-37.298866,-65.086945,-48.33944,17.547361
-35.87967,-64.68497,-38.934566,16.645222
-36.22756,-64.6677,-41.79999,-27.07719
9.113112,-56.00431,-45.783005,4.482525
-36.50693,-64.346085,-21.517296,-2.2722092
-39.632317,-62.15348,-38.171623,18.449306
-39.86767,-62.834816,2.4265897,42.657406
-40.301983,-63.2788,-31.16483,-29.497602
11.403724,-60.2094,-44.67176,6.6106653
10.261573,-60.570763,-44.92669,5.649393
-38.564922,-62.076294,-42.649414,3.2398317
11.645484,-63.428925,-43.983776,2.80733
11.929886,-63.002804,-40.92988,-28.636145
-41.29072,-79.230446,-33.873184,-32.45409
11.656945,-64.19893,-39.500347,-26.783247
-28.964937,-56.214928,-37.27848,-27.898539
-29.520632,-56.53748,-43.700344,8.741646
6.7433486,-50.78269,-32.25584,-27.853064
-27.47067,-56.86699,10.541803,-32.422794
-28.751057,-56.90516,10.098484,-34.594406
7.345078,-51.27297,-46.396034,16.06224
-36.826893,-65.654274,-39.7686,-26.519167
-28.550367,-56.377697,-44.626648,13.417371
-34.86186,-64.95208,-48.444027,11.770523
-29.653122,-57.2092,-32.62577,-29.00697
-37.020123,-65.60606,-37.574497,-27.90247
-35.094448,-65.03267,-40.778275,-26.092543
-40.65225,-61.470875,-44.28824,11.283309
-38.330914,-61.50131,-45.08664,-26.757656
11.274639,-60.701584,-30.13638,-28.385637
-40.756638,-62.340145,-28.737293,-31.718111
-40.290092,-62.512268,-18.357042,30.605013
4.2226944,-50.01297,-31.075834,-29.338297
-42.426643,-63.251907,2.3768976,42.516945
-26.404312,-56.4624,-32.069263,-31.087275
-23.388922,-54.038097,-0.346102,56.034775
-33.352173,-57.329266,-10.284665,63.24495
-36.897533,-60.551212,-8.655296,61.992245
-34.29613,-57.591713,-9.138065,63.542747
-34.34602,-58.560898,-20.220728,-3.1621728
-31.517324,-55.772076,-31.05318,-27.830725
-34.70478,-57.711376,-9.925946,63.658615
-35.66697,-57.061985,-47.31303,-14.993261
-37.35995,-60.96472,-28.84802,-31.69107
-37.80064,-60.824272,-27.186003,-34.057514
11.930011,-61.052994,-44.790184,0.41064504
-19.605337,-50.475346,-20.322947,37.50419
-25.133902,-52.971233,-28.599676,-30.069326
-35.297558,-56.52723,-28.958082,-31.240984
11.085842,-52.9975,11.8977785,-31.86822
-40.80161,-61.316288,9.215305,-32.13492
-42.26324,-62.224422,3.212912,-37.765995
-42.057095,-62.662415,3.8786414,-37.89301
-19.981644,-51.11821,-19.928698,36.038593
-20.267275,-51.374874,5.411933,-51.101524
-23.959003,-54.256947,-29.744192,-32.723476
-25.186693,-53.10313,-48.337337,11.772127
-26.897696,-57.46672,-46.62902,11.580943
-34.294502,-56.995914,-11.144865,62.54408
-31.996693,-55.62557,0.33474505,55.704815
-33.273083,-54.33334,-20.021591,-45.60356
-32.621456,-55.228928,-21.61588,37.618748
-33.83152,-54.356308,-19.789371,-45.257214
-35.371674,-57.965965,-41.96836,-13.536557
-33.141155,-55.62874,-10.0551605,63.237457
11.788018,-61.430298,-31.93155,-31.103436
-42.734924,-62.535473,-31.925962,-27.837868
-20.004938,-51.194504,-28.276342,-32.020943
-34.605564,-57.17329,-0.32442653,56.972904
-31.623669,-54.475945,4.082133,-38.019337
-31.287521,-54.69904,5.834552,42.36044
-31.345942,-55.261047,4.5763884,-37.387154
-31.981604,-55.034966,6.5743585,-37.385036
-32.341667,-56.191696,6.417036,-47.189007
-32.748844,-54.200752,-31.287321,-31.46813
-37.40797,-62.288776,-47.83815,10.79506
11.040241,-59.202374,-27.11715,-33.5933
-41.620472,-63.123745,5.9188232,-35.953205
-42.915634,-64.34232,-3.8075292,-18.162647
-43.369717,-63.582893,-3.80462,-17.994265
-43.078857,-63.888634,-28.575935,16.714033
11.821156,-62.271053,-35.701168,-0.44874343
-41.7251,-63.778564,-42.550888,20.860939
-26.184555,-64.565125,-41.175182,28.224632
-35.628086,-73.480965,-11.782033,55.21201
-34.134377,-71.959076,-2.283458,59.414734
-33.641563,-72.061386,-37.884853,22.571676
-26.682507,-65.459816,-38.51021,16.748892
-33.10936,-72.245186,-20.010975,-1.8105675
-30.680235,-70.28622,-31.625454,25.611366
-25.565834,-61.63683,-40.56507,-9.521009
-22.585337,-55.940067,-26.281584,-11.24702
0.20098145,-56.09916,-40.37736,-1.221307
-25.240263,-61.82896,-25.101416,34.246784
-32.306458,-73.58956,-40.788067,2.0834568
-32.005154,-75.246765,-17.696634,-17.430285
-32.23479,-72.73687,-35.06924,-10.236115
3.3307977,-60.598885,-22.770557,3.5807502
-25.618555,-62.001446,-35.74617,-32.766636
-26.258036,-62.304085,-43.022995,-16.93465
-25.17399,-62.527405,-38.821842,3.508639
-33.092255,-75.37176,-40.89635,26.760939
3.1458347,-60.812794,-37.830704,22.717579
-32.142696,-75.736595,-42.437267,24.861242
-29.643387,-71.07413,-6.7002254,65.96644
-32.855522,-74.32546,-46.629204,3.2156594
-31.865406,-76.248146,15.738518,-30.22149
-25.341228,-62.99514,17.99601,-40.453922
-37.39584,-79.99094,5.0667205,-22.476831
-33.377037,-74.02461,-40.7394,5.770405
3.007788,-61.722023,-40.989727,27.496613
2.6264496,-59.865334,-41.217487,-15.401435
