hanam, hanam, zinc, zinc
16.136555,4.9329023,-2.9316661,12.679775
19.055166,3.929393,-2.1528265,15.927773
9.488401,4.429616,-3.9836252,14.022702
0.08063546,-5.1471047,-3.2391005,13.504972
16.519356,0.18610471,-3.950505,15.644181
8.335206,3.5954287,14.423569,7.034014
22.65605,15.399961,-0.90818834,17.711386
13.193906,11.963991,-3.841213,18.040771
21.53838,14.565532,-4.6316786,17.163506
17.510408,9.645568,-1.1043717,16.555067
20.896206,12.638912,-1.7960203,17.617695
-3.6512027,11.697467,-3.566753,18.697468
-0.95551205,-12.19329,-4.168582,18.433697
-2.3924391,-14.622956,-2.2166736,12.553991
-0.8993733,-10.19767,-2.0240502,13.279762
15.950093,7.1873755,-5.7858105,15.859533
16.895313,7.4525,-6.0398154,14.279073
1.3811629,-10.084824,-5.7603216,16.747946
17.738363,8.479315,-2.176188,16.540504
-0.46507278,-8.624541,-4.5280514,18.347225
-0.45096314,-8.667042,-4.264697,15.738302
16.427544,6.2940326,-3.903372,13.463585
17.147268,6.5539074,-4.542119,14.222347
-2.1408458,-14.336442,-4.586569,17.712652
17.666918,6.195266,-7.7547846,14.960231
1.9498367,-10.57818,-0.8901874,16.920906
18.464762,6.1766095,-2.507732,17.219746
-0.71650046,-10.953392,-3.4461224,19.310799
16.666294,8.066529,-1.88547,18.419155
15.884931,7.756544,-4.5962,19.629385
0.77149403,-10.887513,-3.3507853,19.12309
0.9624861,-11.106062,-8.1937475,14.889507
-16.105907,-19.999287,-2.9674203,14.245533
-15.071756,-19.213667,-1.7120839,13.523569
-15.328214,-19.310696,-5.3994527,14.830122
18.423538,10.578246,-5.9095855,22.072794
-15.658766,-19.16181,-3.822797,20.153755
-19.349714,-18.838945,-6.6890864,15.74496
-19.523508,-19.448143,-2.2256815,19.862022
-19.615234,-20.009989,-6.812677,18.902168
20.832666,14.518276,-6.536748,23.031567
21.574064,13.976957,-7.028157,22.014313
-18.282593,-18.89545,-4.76374,19.45321
22.447344,16.55323,-6.8062515,20.061638
22.093342,16.374931,-6.1433535,21.334646
-16.993107,-30.942547,18.786427,10.017224
22.889378,17.0433,-5.7454424,21.288683
-0.15453798,-10.845794,-5.756472,22.46876
-0.17817433,-11.494826,-0.81667364,18.410711
15.923911,6.825981,-3.5696666,21.296032
-1.6336048,-10.598753,-8.043343,21.060238
-0.394367,-11.061059,-11.010253,18.782928
16.710775,7.200813,-8.744704,15.592865
-15.800778,-20.185753,-8.651241,15.167502
-0.36075777,-10.617348,-11.755268,20.90776
-14.216097,-18.982464,-11.395765,18.535202
1.191472,-10.30413,-2.770677,17.574593
-15.916078,-20.215187,-6.954374,19.564888
-14.378403,-19.09283,-8.60473,24.34653
-19.402328,-19.210655,-9.012991,23.245543
-18.249367,-18.52247,-7.833597,22.626404
20.839392,14.818318,-9.208471,14.512715
-20.026396,-19.18717,-8.38046,22.87148
-19.403112,-19.81204,-11.968613,19.313608
14.976156,5.1235194,-9.571042,19.835497
-21.496721,-19.951548,-7.23743,19.438248
-1.5369897,-9.296594,-12.359587,21.690184
-0.79648304,-5.6150603,-7.6110797,18.910769
1.3842528,-15.21564,-11.622509,21.473999
-17.200676,-17.950325,-7.030289,17.372793
0.2872386,-15.358798,-12.569637,20.650232
-0.6960486,-15.857428,-12.4814415,18.585638
0.5393513,-12.801378,-11.254167,19.918598
0.06636373,-15.458247,-8.360499,20.991928
0.8511007,-16.333767,-12.306449,21.146803
-17.55036,-18.125,-6.814851,22.05222
-17.66773,-18.281046,-11.051366,23.114876
20.860235,15.388695,-10.786867,22.386436
0.028777251,-3.1301773,-11.849665,22.86907
-2.151692,-6.361186,-8.579386,19.413237
1.275891,-16.237951,-8.762991,20.859468
18.836056,8.267671,-7.958837,23.663164
-20.556309,-18.638245,-8.624145,20.522518
-21.42335,-19.185905,-8.941324,18.400541
-21.25704,-19.45457,-13.040075,22.293823
0.62975115,-3.1210594,-11.877627,21.33779
0.96411127,-3.0535882,-9.105384,22.673979
-0.95215064,-6.031021,-11.2659235,22.67515
-1.969073,-6.61524,-9.340812,24.75512
-2.0194445,-9.987201,-10.144893,20.727205
0.71068245,-15.440052,-13.184147,20.208115
1.0929304,-13.178979,-5.5350137,19.592928
2.1086354,-13.851592,-10.41976,25.533312
1.228144,-13.747856,-10.009882,24.20313
2.5559032,-14.041236,-8.874558,20.492186
0.14692363,-16.134233,-10.255822,25.418898
0.34097204,-13.876789,-9.44157,24.805838
21.233637,15.396084,-11.085837,24.56189
-21.661535,-19.360985,-9.83233,16.851679
0.70369315,-3.1076243,-9.650823,23.941528
