hanam, hanam, zinc, zinc
-22.467724,3.7479172,-20.179337,32.05707
-23.669527,3.802664,-28.064283,29.68227
-41.418312,11.339101,-43.25327,9.566179
-55.553535,28.998001,-21.106632,31.928617
-22.791279,5.356661,-19.983232,32.13924
-41.77103,11.927514,-19.74544,32.052982
-12.409103,-11.112605,-29.274939,31.55375
-10.408646,-10.471866,-29.275087,31.55402
-12.358659,-10.955928,-27.354643,28.789028
-11.320671,-9.065547,-26.861158,31.283003
-11.632753,-9.921604,-21.212688,31.911089
-26.302652,18.844788,-23.83087,34.899136
-57.2812,28.799713,-27.695738,30.117107
-58.612965,27.752354,-19.912619,32.14214
-56.8948,28.913841,-17.753098,32.068474
-22.27564,3.6840794,-15.162959,34.59848
-22.232605,3.6796446,-19.80298,32.167564
-57.128918,28.976112,-27.69363,30.12379
-22.05926,3.738545,60.254284,21.512482
-56.534134,29.01897,-41.418312,11.339101
-56.54543,29.027277,-17.73817,31.918968
-22.320477,3.6638622,-28.3527,29.471163
-22.285877,3.6521924,-24.668728,14.599428
-57.744053,28.6862,-27.511797,32.248306
-22.373995,3.574212,-22.406147,31.783833
-57.219063,28.967602,-22.640179,31.679539
-22.476616,3.428676,-27.710867,32.788246
-57.05052,28.96551,-27.748995,32.79142
-22.18967,3.6981127,-28.040852,33.04731
-22.222727,3.6655295,-14.911541,34.528996
-57.135986,28.986107,-15.024129,34.557693
-57.15453,29.032661,-21.056358,38.096992
-59.591362,26.495602,-28.18058,30.613756
-59.294273,26.822292,-38.578667,35.17732
-59.407135,26.80529,-19.795198,32.177547
-11.662379,-9.057513,-14.607159,35.256035
-59.377132,26.777275,-0.7113175,59.66719
-60.132,27.172764,-13.984062,34.26437
-60.208675,27.175388,-27.518991,31.587719
-60.26224,27.176506,-19.243393,31.561668
-12.368885,-10.925688,-24.558157,31.53212
-12.372039,-10.92998,-43.142895,9.372834
-59.865726,27.226946,-26.083015,34.62498
-12.501942,-11.215419,-20.191332,32.084076
-12.514016,-11.184968,-19.912619,32.14214
-60.308716,24.06741,-41.344833,11.762485
-12.505277,-11.291782,-29.876066,33.05818
-57.032997,28.931843,-15.80539,45.626064
-57.114056,28.949266,-28.207623,30.048845
-22.288488,3.6781414,-19.406254,31.737207
-56.938152,28.871815,-27.445564,27.106163
-57.051315,28.924952,-27.953611,29.945433
-22.249302,3.6714935,-27.818867,30.014881
-59.464535,26.601885,-17.121952,31.558723
-56.995323,28.915754,-26.889688,33.89138
-58.914696,27.009169,30.463566,-57.196323
-57.107857,28.974545,30.463566,-57.196323
-59.526707,26.550879,-16.573002,29.601345
-59.038433,26.911682,-20.207647,32.25229
-60.24076,27.195593,-14.967852,34.515755
-59.77067,27.282099,-18.288475,31.892654
-12.387084,-10.957945,-23.793472,35.686382
-60.2559,27.17319,-14.215879,45.1573
-60.239025,27.1916,-27.635847,33.42766
-22.910238,3.7398465,-29.906946,32.155342
-60.46543,27.195724,-23.778149,31.032824
-56.543056,28.863077,-25.205582,23.468054
-55.620853,29.083569,-29.272049,33.109478
-58.001205,28.949831,-28.125921,29.761057
-59.406803,27.428455,-27.411777,28.599112
-58.05742,28.886026,-28.099792,29.706371
-58.0967,28.781662,60.86867,20.044653
-57.548275,29.121172,-27.707348,29.631409
-58.079506,28.877514,-0.21340336,59.8701
-58.133705,28.882978,-19.778349,32.080345
-59.546627,27.391935,-12.291923,34.951866
-59.621506,27.35535,5.4028735,22.832523
-12.463372,-11.019841,5.4028687,22.832525
-27.246502,32.93816,-27.056664,27.732758
-55.519077,29.524675,-13.373414,33.901226
-58.129745,28.876547,-12.364465,35.08315
-14.666836,-3.1294343,-14.912803,34.578445
-60.351536,27.222445,4.683441,23.120167
-60.443783,27.197542,-14.289447,34.08096
-60.44173,27.197609,4.6911077,23.486025
-27.29217,32.404957,-17.547688,31.920298
-27.352365,32.236996,-19.81794,32.085976
-55.65634,29.087332,-43.492954,34.951595
-55.552963,29.510633,-14.547936,34.754986
-56.810642,28.744385,-12.474364,35.046944
-58.050644,28.895842,-18.08333,32.12393
-57.559704,29.123114,-50.574314,-16.615026
-57.63499,29.168154,-24.775211,34.412693
-57.60335,29.137316,-37.13963,22.258701
-57.683846,29.178234,-37.1397,22.258694
-58.158485,28.852537,4.953717,23.279692
-57.657173,29.139614,4.8676186,23.245054
-12.471139,-11.030058,-17.503841,45.041473
-60.44594,27.19798,-21.603867,35.492096
-27.283308,32.385365,-19.064188,22.89748
-58.05305,28.892805,-19.064188,22.89748
-57.558437,29.128176,-14.51848,34.69327
-57.547512,29.125288,-21.448284,38.201946
-57.539845,29.122467,-23.602325,36.198654
-57.552326,29.128748,-15.285845,27.397905
-57.601902,29.12423,-19.57919,31.851065
-57.62667,29.162405,-25.896507,34.244926
-59.701958,27.250948,-41.851982,12.041516
-12.29992,-10.551284,-40.4776,6.8662415
-60.41695,27.197952,-42.47421,9.776553
-60.52297,27.190536,-27.889404,30.503765
-60.514797,27.193386,-42.624184,11.568141
-60.514797,27.193384,-28.169376,35.556637
-12.49951,-11.119565,-21.757318,31.868795
-60.43424,27.198584,-21.878853,31.844873
-57.103584,27.289202,-19.90447,32.159836
-59.368557,24.999582,-28.017542,30.11867
-59.028893,25.387892,-28.88256,31.346525
-59.050797,25.382437,-19.791521,32.037792
-57.28072,27.050304,-32.27339,10.148324
-59.06131,25.370905,-28.308815,35.385204
-58.360725,26.091604,-26.736645,37.46766
-56.59962,27.974188,-19.10007,31.777529
-55.729153,28.913197,-13.465159,35.19565
-25.281158,3.1289036,-14.9902725,34.59465
-56.624153,27.95388,-20.875763,31.3985
-59.131428,25.315275,-27.788563,32.34284
-59.31641,25.117552,-25.802534,35.12247
-58.996628,25.42949,-27.201593,33.12594
-10.725431,-10.604175,-46.209526,35.4648
-56.628532,27.977037,-26.007002,33.945786
-56.671997,27.837576,-20.373701,31.907444
-56.643143,27.902824,-27.852865,30.39033
-59.30046,25.128885,-27.260033,31.99861
-10.725908,-10.620736,-27.029247,32.956474
-59.353573,25.070639,-26.417006,31.578423
-58.376335,26.046642,60.22529,21.49283
-59.239014,25.210785,-26.500597,32.271214
-59.379597,25.0394,-26.226986,32.232643
-56.676086,27.834139,-24.046967,34.84258
-60.033524,24.210732,-23.618286,35.20473
-59.237373,25.2029,-54.858017,-18.291851
-10.781411,-10.736478,0.56627005,60.5095
-10.614678,-10.535331,-27.399506,32.440426
-58.45648,26.003094,-23.665916,40.07521
-57.695312,26.53725,-19.767908,32.097744
-58.544125,25.94269,-24.567898,31.538568
-59.453384,24.940132,-24.568266,31.538761
-59.42559,24.96114,-23.75385,34.771294
-59.397095,25.020386,-29.758377,33.075138
-10.755491,-10.703515,-27.545542,28.467173
-59.425655,24.965792,-27.256813,29.0838
-57.84285,26.393257,-45.634727,35.826435
-59.451088,24.939243,-26.14907,32.219944
-58.549557,25.904497,-26.14907,32.219944
-10.624742,-10.560719,-38.636475,35.487984
-57.720966,26.529871,-44.20589,35.526028
-57.683437,26.552193,-21.992235,31.76382
-59.489395,24.86078,-23.95208,31.253542
-10.786938,-10.771146,-26.56239,32.455357
-59.831104,24.448233,60.386833,21.612766
-55.529022,29.015785,-27.33378,32.100597
-55.322964,29.086983,-43.131233,10.354426
-55.579983,28.986446,-27.35761,33.722694
-57.204807,27.189932,-27.69775,32.26654
-57.28816,27.046215,-42.800797,35.5928
-56.581852,28.163084,-28.17817,32.71446
-55.720367,28.914135,-27.528584,33.559956
-57.32388,26.998035,-54.864975,-18.2914
-10.808398,-10.669502,-21.263052,31.877172
-57.423462,26.890577,-28.442394,34.057034
-56.386627,28.334303,0.3567892,60.370712
-57.439682,26.890196,0.36926675,60.3629
-57.217594,27.232016,-26.230417,32.680748
-56.82883,27.663254,-26.942802,34.02659
-57.55931,26.865414,0.09220124,60.3028
-59.518444,24.82535,-23.795753,35.529495
-59.8978,24.360453,-24.87605,14.60014
-57.506596,26.792767,-28.555237,33.654606
-57.439594,26.876772,-26.767927,34.056847
-58.432568,26.148272,-26.309975,33.816494
-57.38529,26.9205,-26.28655,35.352104
-59.66666,24.649797,-27.751015,30.243143
-59.664467,24.653744,-30.535816,34.44557
-57.61473,26.6793,-30.45382,34.210983
-59.18098,25.271584,-24.89776,14.639963
-58.703636,25.865444,-23.681335,35.975132
-59.105965,25.328152,-22.660965,31.657324
-58.458073,26.039377,-0.9135004,59.188637
-57.426025,26.82045,-41.65061,12.09946
-58.03404,26.385925,-26.059443,34.043465
-60.031757,24.219486,-26.50027,33.03089
-59.38318,25.029564,-27.777384,29.725039
-59.384716,25.029245,-27.29982,32.228752
-59.38318,25.029627,0.3932257,59.655994
-59.734093,24.56766,-15.062618,34.550224
-59.812725,24.469238,-27.343023,32.011627
-59.837482,24.441969,60.439304,21.674994
-60.027817,24.22509,-26.759134,32.749443
-10.636475,-10.560287,-27.329493,28.906
-58.503487,25.97373,-23.93873,31.13743
-58.61906,26.057577,-22.476828,31.755476
-59.498947,24.874495,-27.547262,28.793488
-60.048225,24.203268,-27.777384,29.725039
-60.1589,24.105728,-26.239302,32.57407
-60.19981,24.079578,-0.10425928,60.129116
-60.168705,24.098925,-27.754747,33.921665
-59.71476,24.601828,-27.915482,30.476013
-60.199207,24.079594,-21.134985,37.088314
-10.943486,-10.894453,-29.058496,33.909763
-60.047234,24.20233,0.4309221,60.027534
-56.612953,27.954031,0.2345918,60.39632
-58.236332,26.290459,-27.586365,32.397636
-57.561634,26.633663,-26.240349,33.38483
-58.336628,26.191105,-23.953152,31.197847
-57.46015,26.859446,-27.528223,33.995926
-59.728195,24.559095,-27.896461,30.165714
-59.91012,24.349775,-27.896477,30.165648
-55.625637,29.09676,-35.79828,34.245636
-55.525578,28.323635,-30.028736,33.035885
-59.409256,24.924547,-42.028458,11.875191
-57.618904,29.181793,-27.981188,30.288523
-57.45487,26.989002,-22.671095,31.722225
-59.45296,24.866383,-25.160095,36.51438
-59.494137,24.821253,-1.5211542,60.40495
-12.017153,-9.307481,-25.147778,36.458534
-12.522841,-11.076537,-34.829304,30.701324
-41.10757,11.102345,-18.859003,23.153748
-23.131714,3.0772438,-27.35187,28.954147
-23.868464,2.1902802,-20.09816,32.175125
-41.934875,12.0190735,0.3897886,60.242184
-41.749287,11.803891,5.3813477,23.154215
-46.20655,13.469527,5.3813477,23.154215
-47.3876,13.820428,-6.04886,-34.600285
-43.188587,10.106494,5.4197044,23.373148
-47.533234,13.849985,5.406383,23.158743
-22.963469,5.1382604,5.307788,23.214941
-10.938161,-10.853067,-38.104954,-27.09134
-25.592363,3.025688,0.42137197,59.643932
-22.282251,3.6863782,-24.36899,34.336803
-25.721624,28.550034,-24.906378,36.53215
-14.849129,-3.2679725,-24.51373,33.738243
-23.140789,3.2384012,5.479701,23.314817
-25.89465,3.1625574,-43.267727,35.393017
-25.606134,3.00233,-51.9712,-16.761082
-28.817919,9.723542,-0.8661134,58.699917
-12.3581085,-10.920597,-14.582121,35.294834
-12.404818,-10.987892,-44.450386,36.611164
-30.352942,10.839941,5.0894785,22.84452
-30.358477,10.842982,-26.482975,33.95437
-23.256947,3.5936983,-44.45735,36.61826
-24.031216,2.4122043,-40.632996,37.09914
-23.853369,4.698127,-23.965532,34.326694
-24.30537,4.5698,-24.38183,33.762005
-24.279697,4.5577984,-21.782555,22.285059
-41.782093,11.704936,-15.296695,27.410484
-23.931965,4.646648,-23.760973,38.787323
-24.231339,2.8779178,-51.865524,-17.33134
-23.14271,4.9404073,4.652921,23.246367
-11.008353,-10.205612,-26.547836,29.152882
-22.07214,3.5226889,-38.43867,35.74436
-23.956854,2.251867,-19.103752,38.670475
-23.967506,2.2819033,-25.131685,25.573029
-10.741323,-10.854644,-19.75362,31.964651
-41.70721,11.792794,-26.87935,28.72782
-41.94817,12.041603,-44.44911,36.595093
-22.180008,3.6350567,-34.779335,30.74399
-11.336399,-9.130208,-25.790844,34.214867
-10.453295,-10.477237,4.7589693,23.293228
-10.505177,-10.659526,-38.845795,35.418137
-41.10781,11.12387,-43.341824,7.5354753
-10.784757,-10.889028,-42.55429,9.878117
-10.730413,-10.424439,-47.62568,12.015312
-41.887012,12.042216,-42.844234,8.9927025
-41.174423,11.185736,-44.062836,9.751807
-10.712264,-10.740891,-43.25402,9.570167
-42.020992,12.075578,-42.959244,6.542506
-28.335712,29.454197,-43.117123,9.995125
32.93609,-51.038475,-42.205692,11.922401
-10.485117,-10.4164915,-42.355663,8.931998
-10.385826,-10.431443,-41.770817,11.995566
-42.073635,12.106825,-42.147343,11.956213
-41.028755,10.969558,-42.23753,11.933996
-47.577076,14.136064,-43.11479,7.0483975
-11.35764,-11.06237,-42.754303,8.176567
-41.871758,12.02291,-28.392822,29.285686
-41.793793,11.951727,-42.818924,6.6762786
-41.000896,10.904273,-15.192745,34.60997
-11.275939,-11.029482,-27.645557,30.983116
-23.30322,2.9031992,-27.939314,30.008394
-11.304853,-9.813613,-26.576294,28.535381
-14.679204,-3.105016,-15.03659,34.5667
-11.646305,-9.14188,-22.590952,31.742836
-14.756508,-3.142708,-21.931093,31.701696
-11.815362,-9.679018,-42.55896,9.089814
-17.042927,-16.365307,-27.716467,30.720612
-14.684498,-3.2133446,-20.46485,31.972893
-10.599247,-10.736951,-19.696215,32.073555
-25.858406,3.1041932,-27.178198,19.976042
-24.491304,3.5199158,-54.678497,-18.23678
-11.677166,-9.066655,-53.466766,-17.75645
-28.781721,9.784202,-25.774012,28.446594
-54.93349,-18.267252,-43.53633,9.723279
-20.51384,-13.697306,-54.81379,-18.274387
-41.054234,11.0851965,-46.077335,35.53314
-25.589142,3.0018198,-28.607464,33.15889
-22.902632,5.205327,-26.858322,34.14143
-23.567385,4.600516,0.6367545,60.51007
-22.349339,3.6845093,-34.98699,30.59117
-22.733465,5.3193326,-26.65812,32.362244
-22.830206,5.270967,-27.097387,32.11878
-24.404573,3.160425,-44.17721,35.5243
-22.230772,3.6271632,-26.368458,34.573284
